reshape,rigin
71.571,71.571
72.314,72.314
73.28200000000001,73.282
73.54500000000002,73.545
72.78400000000002,72.784
71.59800000000001,71.598
71.276,71.276
72.533,72.533
75.249,75.249
78.399,78.399
80.94800000000001,80.948
82.07400000000001,82.074
81.86500000000001,81.865
80.531,80.531
78.41200000000002,78.412
75.83200000000001,75.832
72.866,72.866
69.99500000000002,69.995
67.319,67.319
64.449,64.449
61.59100000000001,61.591
59.759,59.759
59.739000000000004,59.739
60.535,60.535
61.35600000000001,61.356
62.435,62.435
63.516000000000005,63.516
63.80800000000001,63.808
63.81600000000002,63.816
64.99300000000001,64.993
68.23600000000002,68.236
72.50600000000003,72.506
75.19200000000001,75.192
74.85400000000001,74.854
73.10700000000003,73.107
72.14000000000001,72.14
73.16700000000002,73.167
74.42200000000001,74.422
74.72800000000001,74.728
74.501,74.501
73.75500000000001,73.755
72.41700000000002,72.417
70.67400000000002,70.674
68.52,68.52
65.501,65.501
62.236000000000004,62.236
60.25200000000001,60.252
60.25800000000001,60.258
60.61400000000001,60.614
60.728000000000016,60.728
62.05300000000001,62.053
64.69700000000002,64.697
66.98400000000002,66.984
67.69600000000001,67.696
67.83700000000002,67.837
68.69200000000001,68.692
70.34400000000001,70.344
71.70200000000001,71.702
71.84800000000001,71.848
70.69,70.69
68.863,68.863
67.833,67.833
68.37300000000003,68.373
70.06500000000001,70.065
71.40100000000001,71.401
71.79000000000002,71.79
71.566,71.566
71.56300000000002,71.563
72.11200000000001,72.112
72.43900000000001,72.439
71.48700000000001,71.487
69.711,69.711
68.00800000000001,68.008
66.475,66.475
64.823,64.823
63.38600000000001,63.386
62.993,62.993
64.196,64.196
66.55100000000002,66.551
68.98600000000002,68.986
70.62,70.62
71.398,71.398
73.02500000000002,73.025
76.241,76.241
79.76300000000003,79.763
82.32400000000001,82.324
82.73600000000002,82.736
81.31700000000001,81.317
78.935,78.935
77.13300000000001,77.133
76.36500000000001,76.365
76.02200000000002,76.022
75.58600000000001,75.586
75.21000000000001,75.21
75.27100000000002,75.271
75.30500000000004,75.305
74.56200000000001,74.562
73.09800000000001,73.098
71.61600000000001,71.616
70.25,70.25
68.911,68.911
67.826,67.826
67.82300000000001,67.823
69.25200000000001,69.252
70.78600000000002,70.786
71.217,71.217
71.117,71.117
71.70100000000001,71.701
73.404,73.404
75.36600000000001,75.366
76.85800000000002,76.858
77.36400000000002,77.364
76.596,76.596
74.19800000000001,74.198
70.648,70.648
66.95500000000001,66.955
63.974000000000004,63.974
62.87100000000001,62.871
63.65200000000001,63.652
65.04700000000001,65.047
